elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label,rel_tot_dp_change,rel_ts_dp_change,rel_p_ts_dp_change,anomaly_score,smooth_score
1053.0,-1.003192,-0.847088,-1.182936,23.588348,0.645454,0.561686,0.392408,0.169278,0.0837679999999999,0.253046,1402.203434,2.0207714070837675,0.0048098686242366,0.0,0,0.9939412031572518,0.9925796057897252,0.9973983914081417,0.2675880235489548,0.2675880235489548
1054.0,-1.006473,-0.84525,-1.186348,23.574171,0.648128,0.563813,0.39444,0.169373,0.084315,0.253688,1397.710221,2.0087883675696183,0.0107112796529966,1.0,0,0.9964629195741365,0.9931366484210772,1.0039113428943938,0.2592817411327692,0.2592817411327692
1055.0,-0.995842,-0.835012,-1.177423,23.614472,0.646253,0.561219,0.393033,0.168186,0.0850339999999999,0.2532199999999999,1397.064293,1.977844417004764,0.0259505660561845,2.0,0,0.9946246590085566,0.9861765473324987,1.0124722425627917,0.23940598243350125,0.23940598243350125
1056.0,-0.98836,-0.834224,-1.165742,23.599375,0.646722,0.563093,0.393815,0.1692779999999999,0.083629,0.252907,1395.918594,2.024130096855193,0.0031557800404619,3.0,0,0.9933952240576459,0.9925796057897245,0.9957433635167555,0.26384932888967233,0.26384932888967233
1057.0,-0.989935,-0.829893,-1.171779,23.607252,0.646134,0.56188,0.393253,0.168627,0.0842539999999999,0.2528809999999999,1397.460337,2.0013886416236444,0.0143554989894855,4.0,0,0.993293098470669,0.9887623978633017,1.0031850356902585,0.2591206986605761,0.2591206986605761
1058.0,-0.994792,-0.826217,-1.171648,23.592943,0.643929,0.560353,0.391295,0.1690579999999999,0.0835759999999999,0.2526339999999999,1396.187338,2.022781387223758,0.0038199929794369,5.0,0,0.992322905394391,0.991289612327646,0.9951123097164413,0.25974950301580896,0.2576585802596337
1059.0,-0.990329,-0.828055,-1.177948,23.61631,0.644425,0.560237,0.392098,0.1681389999999999,0.084188,0.252327,1393.631912,1.9971611493187935,0.0164374557152717,6.0,0,0.991117037886629,0.985900957820145,1.0023991951087377,0.25646787152268097,0.25565924844420546
1060.0,-0.985735,-0.82648,-1.171517,23.598588,0.643534,0.559208,0.391337,0.167871,0.084326,0.252197,1392.858684,1.9907147177060731,0.0196121963618778,7.0,0,0.9906064099517456,0.9843295112390679,1.0040423163246472,0.25336112476149064,0.2563047423895296
1061.0,-0.971954,-0.818604,-1.171386,23.602395,0.647631,0.563429,0.393421,0.1700079999999999,0.084202,0.2542099999999999,1393.151002,2.0190254503996288,0.0056697179153407,8.0,0,0.9985132871280513,0.9968600386411671,1.002565888565424,0.25989103370920014,0.25909286213503296
1062.0,-0.979566,-0.81506,-1.182673,23.614341,0.649239,0.564873,0.394093,0.1707799999999999,0.084366,0.255146,1397.625355,2.024251188260811,0.0030961449073425,9.0,0,1.0021898082592104,1.0013867429717338,1.0045185833437515,0.2578704949216824,0.2597342154497718
